Average (s),Height (m),Trial 1,Trial 2,Trial 3,Trial 4,STDEV
0,0.88,0,0,0,0,0
0.14155,0.59,0.1581,0.1364,0.1246,0.1471,0.014358853
0.18455,0.52,0.2002,0.1841,0.18,0.1739,0.011243517
0.2312,0.455,0.2407,0.2376,0.2246,0.2219,0.009332024
0.246875,0.346,0.2642,0.2315,0.25,0.2418,0.013809025
0.23495,0.39,0.2378,0.2281,0.2482,0.2257,0.010265963
0.28325,0.3,0.294,0.2867,0.2796,0.2727,0.009166788
0.2989,0.221,0.386,0.2874,0.2631,0.2591,0.059397924
0.2702,0.182,0.2591,0.2788,0.2909,0.252,0.017859638
0.3183,0.144,0.3274,0.3078,0.335,0.303,0.015341013
0.311775,0.09,0.3182,0.3078,0.3134,0.3077,0.005044056
